original_sentence,nearest_neighbor,cosine_similarity
તેની વિગત જાણવી આજે પુસ્તુત પણ છે અને અનુકરણીય પણ આ સ્થળે ૩૫૦૦ એકર ઉજજડ જમીનમાં ૪૦ હજાર જેટલાં નિરાશ્રિતો તંબુ બાંધીને રહેતાં હતાં.,૪૦,0.1790
જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,ના કાર્યકારી મુખિયાની પસંદગી કરવા માટે છેક ગાંધીનગર સુધી રજૂઆત કરાઈ છે.,0.2981
કોઈ ગુરુ સુરક્ષા કરે છે.,કોઈ ગુરુ વાવે છે.,0.4883
જ્યારે દાખલા ગણતરીનો એવો બી-વિભાગ પણ ધાર્યા પ્રમાણે સરળ અને સહેલો ન નીકળતા વિદ્યાર્થીઓ મુંઝાઈ ગયા હતા.,સૌથી સહેલો રસ્તો બહાર - વિન્ડો કરો.,0.1595
બાયોમેટ્રિક સિસ્ટમથી પુરાશે હાજરી.,કેદીઓની મોટી સંખ્યામાં હાજરી.,0.3136
"પશુ ઊભાં ઊભાં ખાય છે, તેમ તું કરપાત્રી થઈને ઊભો ઊભો ખાવા માંડે, ને કેટલાક હિંસક જીવો જંગલમાં એકલા ફર્યા કરે છે તેમ વનમાં એકલો જ વિહાર કરે તો પણ શું?",રોમન તરત જ ઊભો થયો અને તાળી પાડી ને હસી ને ખુશ થઈને બોલ્યો ઓકે પ્રોબ્લેમ સોલ્વ.,0.1479
તમારા માટે એક વિકલ્પ પસંદ કરો જે અગવડતાને કારણે નહીં કરે.,તમારા ગ્રાહકો માટે વિકલ્પ ન ટાળો,0.2563
રિયા સહિત દિપેશ અને મિરાન્ડાને પણ જામિન આપી દેવામાં આવી હતી.,"જો કે, રિયાના ભાઇ શોવિક ચક્રવર્તીની જામિન રદ્દ કરી દેવામાં આવી હતી.",0.3343
"હકીકતમાં, સલમાન ખુર્શીદે તેમના નવા પુસ્તક 'સનરાઇઝ ઓવર અયોધ્યાઃ નેશનહૂડ ઇન અવર ટાઇમ્સ'માં દેશમાં હિન્દુત્વની વધતી વિચારધારા પર એક આખો પ્રકરણ લખ્યો છે.",સેવ અવર સિનિયર્સ કેમ્પેઈન શરૂ કરવામાં આવશે,0.0859
11-10-ર019 થી રજી.,૩૦ થી ૯.,0.1132
".આવા કપરા સમયમાં તઘલખી નિર્ણયો સામે જનતાએ જ અવાઝ ઉઠાવવો પડશે, નેતાઓ તો તમાશો જોવામાં વ્યસ્ત છે.",પરંતુ આનો અર્થ એ નથી કે કોઈની ભૂમિકા પર બહુ જલ્દી સવાલ ઉઠાવવો જોઈએ.,0.1297
"પોલીસે આ મામલે કાર્યવાહી કરતાં વિડીયોમાં દેખાતા એક વ્યક્તિની ધરપકડ કરી છે, જ્યારે અન્ય એકની અટકાયત કરાઈ છે.",વિડીયોમાં મોતી સિંહ સ્પષ્ટ દેખાતો હોવાથી પોલીસે તેની ધરપકડ કરી હતી.,0.2833
9 ટકા સુધીનો વધારો નોંધાયો હતો.,10 સુધીનો વધારો થયો હતો.,0.5490
"તે બધા એક અવિશ્વસનીય  પ્રથમ વ્યક્તિ શૂટર  સાથે પ્રારંભ થયો હતો  ,  જેના આધારે તે બે ટીમોનો સામનો કરવો સરળ છે, જેમાં આતંકવાદીઓ અને વિશેષ દળોનો સમાવેશ થાય છે.",. અને હારનો જ સામનો કરવો પડ્યો.,0.1435
સગર્ભાવસ્થામાં ઠંડીથી ઇન્હેલેશન,સગર્ભાવસ્થામાં સ્લીપ એપનિયા દ્વારા પીડિત થયેલા મહિલાઓ અન્ય સંદર્ભમાં જ્યારે થાય ત્યારે તે સ્થિતિ જેવી જ હોય ​​તેવા લક્ષણો વિકસે છે.,0.1931
રિપીટર વિદ્યાર્થીઓને માસ પ્રમોશન આપવા કરાઇ હતી માગ,તાત્કાલિક નિયમિત તલાટીની માગ,0.1578
"પેઈન્ટ્સથી આખા સ્ટેશનને નવી ડીઝાઇનમાં આપવામાં આવી છે, તદ્દઉપરાંત વેઈટીંગ હોલ પણ સારો બનાવ્યો છે.",એટલે કહી શકાય કે મહાનગરોની જેમ જ ભુજ અને ગાંધીધામમાં પણ સ્મશાન ગૃહ માટે વેઈટીંગ શરૂ થઈ ગયુ છે.,0.1461
બોબી દેઓલે આશ્રમ નામની વેબ સિરિઝમાં પાખંડી બાબાનો રોલ પ્લે કર્યો અને દેખાડી દીધું કે તેના અભિનયમાં હજુ કેટલી જાન છે.,લાંબા સમય બાદ બોબી દેઓલને એક મોટો રોલ મળ્યો અને તેને નિભાવવામાં તેણે કોઇ કસર ના છોડી.,0.1410
પરંતુ આ ગરમી એટલી આકરી છે કે પાણીની શોધમાં જંગલના રાજા સિંહને પણ જંગલ છોડી ઠેર ઠેર રખડવું પડે છે.,૧૫મીથી અમલ શરૂ કરવામાં આવતા ઠેર ઠેર વિરોધ થયો હતો.,0.3274
"જેમ કે, ટ્રેક્ટર અને અન્ય યંત્રોમાં ડીઝલનો વપરાશ કરતા ખેડૂતને ઘેર બેઠા ડીઝલ મળે તો એ ઘણું સાનુકૂળ છે.",74 અને ડીઝલનો ભાવ રૂા.,0.1979
મૃતકના પરિવારજનોએ ન્યુઝીલેન્ડ ગવર્નમેન્ટનો સંપર્ક કર્યો હતો.,જાડેજાએ અનુરોધ કર્યો હતો.,0.1268
"ઉલ્લેખનીય છે કે, લોકસભા ચૂંટણીમાં કોંગ્રેસના કારમા પરાજયની જવાબદારી સ્વીકારીને રાહુલ ગાંધીએ પાર્ટીના અધ્યક્ષ પદ પરથી રાજીનામું આપ્યું હતું.",કોંગ્રેસના નવા અધ્યક્ષ પદ માટે આગામી બે મહિનામાં નામ નક્કી કરી લેવામાં આવશે.,0.2114
જેથી ભાવનગર પોલીસે ભાગી ગયેલા આરોપીની શોધખોળ હાથ ધરી હતી.,ભાવનગર તા.,0.2713
"સવારી દરમિયાન સગવડ માટે, તમે સતત પગ અને હથિયારો વિસ્તૃત કરવા પડશે.",પગ ઉપર સોજો,0.1840
મુંબઈ: મહારાષ્ટ્ર વિધાનસભા ચૂંટણીના પરિણામોની જાહેરાત થયાના 6 દિવસ બાદ પણ સરકાર બનાવવાને લઈને સસ્પેન્સ યથાવત છે.,મહારાષ્ટ્રમાં સરકારની રચનાને લઈને સસ્પેન્સ યથાવત છે.,0.3333
સાથે છરી રાખતો હતો.,જેમાં યુવાનો બ્લેડ કે છરી વડે પોતાના શરીર પર કાપા પાડે છે કે ચોક્કસ નિશાન કરે છે.,0.1921
ગુજરાતમાં પણ કમળ તો ખીલ્યું.,તો ગુજરાતમાં કોરોના મહામારી તેના ચરમ પર હતી.,0.1589
"ખાસ કરીને અગત્યનું એ હકીકત છે કે ડિઝાઇનર્સનું ધ્યાન રાખવું, ગાઢ સંકુલના તમામ વય જૂથો માટે તેમની પોતાની શૈલીઓ છે.","અભ્યાસ કરાવવા સિવાયની તમામ પ્રવૃતિઓ હોસ્પિટલ દરેક ધ્યાન રાખવું, ડોનેશન કરવું.",0.2022
હવસની હદ: મુંદ્રાની શાળામાં ભણતી 3 વર્ષની માસૂમ બાળકી પર દુષ્કર્મનો પ્રયાસ,. એની સાથેજ ભણતી એક છોકરી સાથે પરણી ગયો છે.,0.1343
ભારતીય જનતા પાર્ટીની પ્રણાલિકા મુજબ રાષ્ટ્રીય કક્ષાએ અને પ્રદેશ કક્ષાએ અને મહાનગર કક્ષાએ કારોબારી બેઠકનું આયોજન કરવામાં આવતું હોય છે અને તયારબાદ વોર્ડ કક્ષાએ બુથ સુધીના કાર્યકર્તાઓનો સમાવેશ કરી કારોબારી બેઠક યોજાતી હોય છે ત્યારે કારોનાની મહામારીને ધ્યાનમાં રાખી મહાનગરની ઇ-કારોબારી બેઠક યોજાઇ હતી તેમજે શહેર ભાજપ પ્રમુખ કમલેશ મીરાણીના માર્ગદર્શન હેઠળ વોર્ડ નં૧થી ૯ ની કારોબારી યોજાઇ હતી.,૧૦ થી ૧૮ માં કારોબારી બેઠક યોજાશે.,0.2116
બાયોમેડિકલ વેસ્ટ સાથે તેની સેગ્રીગેશન પઘ્ધતિ અને તેમાંથી થતા ઈન્ફેકશન જેવી બાબતોની અબતક ચાય પે ચર્ચા યોજવામાં આવી હતી.,૩૦ કલાકે તાલિમ ભવન ખાતે આયોજન કરવામાં આવેલ છે જેમાં વિવિધ કાર્યો કલેકશન જેવી વિવિધ બાબતોની ચર્ચા કરવામાં આવશે.,0.1479
કેરળમાં પૂરની સ્થિતિ કેટલી ગંભીર છે તે વાતનો અંદાજ તમને આ મંદિરને જોઈને આવી જશે.,તમને અંદાજ નથી કે શું થવાનું છે.,0.2236
"ગાંગુલીએ સપ્ટેમ્બર 2005માં બુલાવાયોમાં ઝિમ્બાબ્વે વિરુદ્ધ પ્રથમ ટેસ્ટથી બનેલી ઘટનાઓને યાદ કરતા કહ્યું કે, ‘એક દિવસ સાંજે ગ્રેગ મારી પાસે આવ્યો અને મને એક ટીમ દેખાડી, જેને તેણે પહેલી ટેસ્ટ માટે પસંદ કરી હતી.","મારી મિત્ર , મારી ગર્લફ્રેન્ડ, મારી ગાઈડ , મારી હિંમત અને મારી તાકાત.",0.1019
તેમાં દરેક સંપત્તિની આરક્ષિત કિંમત એકથી દોઢ કરોડ રાખવામાં આવી હતી.,નેકનામ ઓટાળા ટોળ વિગેરે ગામોમાં એકથી દોઢ ઇંચ વરસાદ પડેલ છે.,0.1847
આ પદાર્થ તેના પોતાના માળખું ધરાવે છે.,આ કુદરતી પદાર્થ નથી તેથી લાંબા પહેલાં શોધવામાં આવ્યા છે.,0.2679
એટલે કે તમે ચાર દિવસ રજાનો પ્લાન બનાવી શકો છો.,"એટલે કે, તમે બાળકને 3 વર્ષ સુધી પરિવહન કરી શકો છો.",0.3053
